COMPANY,company2,company3,company4,company5,company6,MINE,TOWN,PROVINCE,latitude,longitude,YEAR_OPENED,YEAR_CLOSED,open2,close2,open3,close3,commodityall,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,information,source1,source2,source3,link1,link2,link3
Greenwood Coal Co. Ltd. ,,,,,,,,Nova Scotia,45.5502192,-62.56677981,1918,1966,,,,,Coal,Coal,,,,,,,,The currently entered coordinates are for the museum (see link attached),0,1,1,https://www.mindat.org/loc-290980.html,,
Avon Coal Co. Ltd.,,,,,,,Minto ,New Brunswick,46.128611,-66.081944,1950,1971,,,,,Coal,Coal,,,,,,,,,0,1,1,https://www1.gnb.ca/0078/GeoscienceDatabase/IndustrialMinerals/qryIndMinSummary-e.asp?Num=568,,
Century Coals Ltd.,,,,,,,,Alberta,51.2783727,-112.5293468,1954,1965,,,,,Coal,Coal,,,,,,,,"""Site Two is located approximately four miles to the south / south-east of the lower preparation plant. At the second site is the shaft and slope openings of Century Coals Ltd. begun in 1954. Structures include buildings (a machine shop apparently still in use) and the shaft hoist structure. A small amount of coal does presently find its way to local markets."" from https://hermis.alberta.ca/ARHP/Details.aspx?DeptID=2&ObjectID=HS%2033696",0,1,1,,,
Cape Breton Development Corp.,,,,,,Phalen,New Waterford,Nova Scotia,46.25314274,-60.09054688,1970,1976,,,,,Coal,Coal,,,,,,,,"Closing of Devco’s Phalen Colliery, New Waterford, Cape Breton Island, Nova Scotia 1999 ",0,1,0,,,
Brogan Mining Company Limited,Greenhills Development Ltd.,,,,,Sullivan Creek or Florence,Florence ,Nova Scotia,46.27066384,-60.28226058,1997,2010,,,,,Coal,Coal,,,,,,,,"Rio Algom constructing plant for tin mine, near Yarmouth, Nova Scotia",0,1,0,,,
Comox Mining Co. Ltd. ,Canadian Collieries (Dunsmuir) Ltd. ,,,,,,,British Columbia,49.631388,-125.03805,1888,1967,,,,,"Coal, Fireclay",Coal,Fireclay,,,,,,,,0,0,1,https://www.memorybc.ca/canadian-collieries-dunsmuir,,
Mclntyre Coal Mines Ltd.,CST Canada Coal Limited,Up Energy Development Group Ltd.,,,,,Grande Cache ,Alberta,53.93860907,-119.1783886,1967,1972,2004,2015,2018,2020,Coal,Coal,,,,,,,,,0,0,1,https://www.gem.wiki/Grande_Cache_Coal,,
Conuma Coal Resources Ltd.,"Walter Energy, Inc.",,,,,Wolverine or Perry Creek,,British Columbia,55.0861,-121.2453,2006,2014,2017,open,,,Coal,Coal,,,,,,,,https://www.gem.wiki/Wolverine_mine,0,0,1,,,
"Cape Breton Development Corp., (DEVCO),",,,,,,No. 26 Colliery,Glace Bay ,Nova Scotia,46.17451388,-59.94872442,1900,1984,,,,,Coal,Coal,,,,,,,,"Closing of Number 26 Colliery, Glace Bay, Nova Scotia.",0,0,1,https://publications.gc.ca/collections/Collection/M39-78-2001E.pdf,,
Bras D'Or Coal Co. Ltd.,,,,,,,Broughton ,Nova Scotia,46.08324017,-59.97585717,1901,1969,,,,,Coal,Coal,,,,,,,,many mines operated between 1901 and 1969 and it then became a ghost town (source3),0,0,1,https://notyourgrandfathersmining.ca/ghost-town-broughton,,
Red Deer Valley Coal Co. Ltd. ,,,,,,Foothills,,Alberta,53.06878004,-116.7956893,1918,1961,,,,,Coal,Coal,,,,,,,,,0,0,1,https://issuu.com/experiencetravelguides/docs/experience_our_coal_history,,
Miramichi Lumber Co. Ltd. ,,,,,,,Minto ,New Brunswick,46.08333333,-66.01666667,1932,2009,,,,,Coal,Coal,,,,,,,,labour // Miramichi lumber strike and the strike in the MINTO coalfields in October 1937 forced the province to re-evaluate its labour relations policy and consequently to introduce new labour legislation in 1938. (link1) //// https://archives.gnb.ca/LHTNB/Categories/Labour_Landmarks/Minto_1932/Story_en-CA.aspx,0,0,1,https://www.thecanadianencyclopedia.ca/en/article/miramichi-lumber-strike,https://www1.gnb.ca/0078/GeoscienceDatabase/IndustrialMinerals/qryIndMinSummary-e.asp?Num=568,https://mynewbrunswick.ca/village-of-minto/
West Canadian Collieries Ltd. ,,,,,,,,Alberta,49.59245398,-114.4052802,1937,1961,,,,,Coal,Coal,,,,,,,,,0,0,1,https://publications.gc.ca/collections/collection_2018/statcan/26-206/CS26-206-1956-eng.pdf,https://digitalcollections.ucalgary.ca/CS.aspx?VP3=DamView&VBID=2R3BXZ7608XLZ&PN=12&DocRID=2R3BF1FHNRUY&FR_=1&W=1280&H=520,
Westar Mining Corporation,Kaiser Resource,Teck Cominco Limited,B.C Coal,,,"Elkview, formely Balmer",Sparwood,British Columbia,49.78611,-114.82749,1980,2015,,,,,Coal,Coal,,,,,,,,strike in 1980-1 (link1),0,0,1,https://www.upi.com/Archives/1981/07/23/Officials-at-BC-Coal-Ltds-coal-operations-in-Sparwood/2563364708800/,https://open.library.ubc.ca/media/stream/pdf/831/1.0096357/1,https://minfile.gov.bc.ca/Summary.aspx?minfilno=082GNE014
Gregg River Resources Ltd. ,,,,,,Gregg River,Hinton,Alberta,53.09308204,-117.5087097,1980,2000,,,,,Coal,Coal,,,,,,,,,0,0,1,https://www.cclmportal.ca/resource/reclamation-gregg-river-mine-canada,,
Obed Mountain Coal Co. Ltd. ,,,,,,Obed-Marsh,Hinton,Alberta,53.60719525,-117.4604471,1980,2003,,,,,Coal,Coal,,,,,,,,,0,0,1,https://www.canadianminingjournal.com/news/coal-mining-news-luscar-suspends-production-at-obed-mountain/,,
Quinsam Coal Ltd.,Hillsborough Resources Limited,,,,,Quinsam,Quinsam Mine,British Columbia,49.935277,-125.48749,1986,2015,2017,open,,,"Coal, Fireclay, Clay",Coal,Fireclay,Clay,,,,,,,0,0,1,https://publications.gc.ca/collections/collection_2017/statcan/44-250/CS44-250-1989.pdf,,
Brogan Mining Company Limited,Old Sydney Collieries Ltd.,,,,,Little Pond,Alder Point,Nova Scotia,45.31685,-62.04859,2004,2005,,,,,Coal,Coal,,,,,,,,"Brogan operated at Little Pond on the site of the former Alexander and No. 7 mines from 1999 to 2003, subsequently moving North to Merritt Point, immediately South of the Cape Crushing operation, producing for a short time, 2004-2005. from https://notyourgrandfathersmining.ca/sullivan-creek",0,0,1,https://novascotia.ca/natr/meb/data/pubs/06re01/Appendix01.pdf,,
Teck Resources Limited,,,,,,Cardinal River (Cheviot),,Alberta,53.0667,-117.4,2005,2020,,,,,Coal,Coal,,,,,,,,,0,0,0,,,
Anglo American plc,,,,,,Trend,,British Columbia,54.898333,-120.961706,2005,2014,,,,,Coal,Coal,,,,,,,,,0,0,0,,,
Pine Valley Mining Corporation,Western Coal Corporation,Conuma Coal Resources Ltd.,"Walter Energy, Inc.",Conuma Coal Resources Ltd.,,Willow Creek,Tumbler Ridge,British Columbia,55.619443,-122.22194,2015,2010,2014,2018,,,Coal,Coal,,,,,,,,,0,0,0,,,
Kameron Collieries ULC,,,,,,Donkin,,Nova Scotia,46.178108,-59.825861,2017,2020,,,,,Coal,Coal,,,,,,,,,0,0,0,,,
Dominion Steel and Coal Corp. Ltd.,,,,,,Old Sydney Collieries Division,,Nova Scotia,46.28919087,-60.27036014,1901,1975,,,,,Coal,Coal,,,,,,,,"Establishment of Dominion Iron and Steel, Sydney, Nova Scotia.  1901",0,0,0,,,
Brazeau Collieries Ltd. ,,,,,,,,Alberta,52.45757816,-116.0846652,1910,1955,,,,,Coal,Coal,,,,,,,,,0,0,0,,,
Manalta Coal Ltd.,,,,,,Montgomery,Hanna,Alberta,51.47689546,-111.7076536,1914,1999,,,,,Coal,Coal,,,,,,,,,0,0,0,,,
Coleman Collieries Ltd. ,,,,,,,Coleman,Alberta,49.80767402,-114.5248106,1957,1981,,,,,Coal,Coal,,,,,,,,,0,0,0,,,
C.H. Nichols ,,,,,,,Minto ,New Brunswick,46.07595292,-66.0748075,1966,1969,,,,,Coal,Coal,,,,,,,,Minor occurrence (limited to no exploration work),0,0,0,,,
Smoky River Holdings Ltd.,,,,,,Smoky River,Grande Cache ,Alberta,54.02862025,-119.2595334,1976,2000,,,,,Coal,Coal,,,,,,,,,0,0,0,,,
Teck Corporation Ltd.,Teck-Bullmoose Coal Inc.,Teck Corporation Billiton Copper Holdings Inc. And Nissho Iwai Coal Development (Canada) Ltd.,,,,Bullmoose,Tumbler Ridge,British Columbia,55.118332,-121.49472,1983,2002,,,,,Coal,Coal,,,,,,,,,0,0,0,,,
Western Canadian Coal Corporation,"Walter Energy, Inc.",Conuma Coal Resources Ltd.,,,,Dillon or Brule,Tumbler Ridge,British Columbia,55.386666,-121.81999,2004,2007,2014,2016,,,Coal,Coal,,,,,,,,,0,0,0,,,
Anvil Mining Corp. Ltd.,Cyprus Anvil Mining Corporation,Yukon Coal Co. Ltd.,,,,Tantalus Coal,Carmacks ,Yukon,62.12361111,-136.2636111,1948,1967,1970,1982,,,Coal,Coal,,,,,,,,250 workers //Tantalus and Tantalus Butte Coal Mines,1,1,1,https://explorenorth.com/library/mining/tantaluscoal.html,,
Newcastle Coal Co. Ltd.,,,,,,,,New Brunswick,46.0438,-66.0259,1955,1961,1966,1967,,,Coal,Coal,,,,,,,,Minor occurrence (limited to no exploration work),1,1,1,https://www1.gnb.ca/0078/GeoscienceDatabase/IndustrialMinerals/qryIndMinSummary-e.asp?Num=568,,
Midland Coal Mining Co. Ltd.,,,,,,,,Alberta,51.47988297,-112.7678241,1912,1959,,,,,Coal,Coal,,,,,,,,,1,1,0,,,
Springhill Coal Mines Ltd. ,Cumberland Railway and Coal Co. ,,,,,,Springhill ,Nova Scotia,45.65338829,-64.06378435,1915,1970,,,,,Coal,Coal,,,,,,,,"Production begins at Novex Mining and Exploration Company’s barite mine at Pine Brook, Cape Breton, Nova Scotia",1,1,0,,,
Indian Cove Coal Co. ,,,,,,,Sydney Mines ,Nova Scotia,46.242273,-60.230613,1918,1963,,,,,Coal,Coal,,,,,,,,,1,1,0,,,
Dominion Coal Co. Ltd.,,,,,,,,Nova Scotia,45.2202727,-63.93275043,1939,1971,,,,,Coal,Coal,,,,,,,,,1,1,0,,,
"Dominion Steel and Coal Corp. Ltd.,",Acadia Coal Co. Ltd. ,,,,,Acadia Coal Division,,Nova Scotia,45.560911,-62.5639188,1946,1972,,,,,Coal,Coal,,,,,,,,,1,1,0,,,
