COUNTRY,PDOnam,Registration,WINE_NAME,Color,Category,PRIMARY_VINE_VARIETIES,SECONDARY_VINE_VARIETIES,Max_yield_hl,Max_yield_kg,Min_density
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Bianco,White,Wine,Trebbiano Abruzzese B; Trebbiano Toscano B,Barbera Bianca B; Biancame B; Bombino Bianco B; Cococciola B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Montonico Bianco B; Moscato Bianco B; Mostosa B; Passerina B; Pecorino B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,98,14000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Rosso,Red,Wine,Montepulciano N,Aglianico N; Barbera N; Cabernet Franc N; Cabernet Sauvignon N; Calabrese N; Canaiolo Nero N; Cannonau N; Ciliegiolo N; Dolcetto N; Gaglioppo N; Maiolica N; Malbech N; Marzemino N; Merlot N; Nebbiolo N; Petit Verdot N; Pinot Nero N; Primitivo N; Refosco Nostrano N; Sangiovese N; Syrah N; Tannat N; Terrano N,84,12000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Passito Bianco,White,Wine From Raisined Grapes,Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Moscato Bianco B; Passerina B; Pecorino B; Riesling B; Sauvignon B; Traminer Aromatico Rs,Barbera Bianca B; Biancame B; Bombino Bianco B; Cococciola B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Manzoni Bianco B; Montonico Bianco B; Mostosa B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,98,14000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Passito Rosso,Red,Wine From Raisined Grapes,Montepulciano N,Aglianico N; Barbera N; Cabernet Franc N; Cabernet Sauvignon N; Calabrese N; Canaiolo Nero N; Cannonau N; Ciliegiolo N; Dolcetto N; Gaglioppo N; Maiolica N; Malbech N; Marzemino N; Merlot N; Nebbiolo N; Petit Verdot N; Pinot Nero N; Primitivo N; Refosco Nostrano N; Sangiovese N; Syrah N; Tannat N; Terrano N,84,12000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Spumante Bianco Charmat,White,Sparkling Wine,Chardonnay B; Cococciola B; Montonico Bianco B; Passerina B; Pecorino B; Pinot Nero N,Barbera Bianca B; Biancame B; Bombino Bianco B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Moscato Bianco B; Mostosa B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,98,14000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Spumante Bianco Charmat,White,Quality Sparkling Wine,Chardonnay B; Cococciola B; Montonico Bianco B; Passerina B; Pecorino B; Pinot Nero N,Barbera Bianca B; Biancame B; Bombino Bianco B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Moscato Bianco B; Mostosa B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,98,14000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Spumante Rosé Charmat,Rosé,Sparkling Wine,Montepulciano N; Pinot Nero N,Aglianico N; Barbera N; Cabernet Franc N; Cabernet Sauvignon N; Calabrese N; Canaiolo Nero N; Cannonau N; Ciliegiolo N; Dolcetto N; Gaglioppo N; Maiolica N; Malbech N; Marzemino N; Merlot N; Nebbiolo N; Petit Verdot N; Primitivo N; Refosco Nostrano N; Sangiovese N; Syrah N; Tannat N; Terrano N,98,14000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Spumante Rosé Charmat,Rosé,Quality Sparkling Wine,Montepulciano N; Pinot Nero N,Aglianico N; Barbera N; Cabernet Franc N; Cabernet Sauvignon N; Calabrese N; Canaiolo Nero N; Cannonau N; Ciliegiolo N; Dolcetto N; Gaglioppo N; Maiolica N; Malbech N; Marzemino N; Merlot N; Nebbiolo N; Petit Verdot N; Primitivo N; Refosco Nostrano N; Sangiovese N; Syrah N; Tannat N; Terrano N,98,14000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Spumante Bianco Classico,White,Sparkling Wine,Chardonnay B; Cococciola B; Montonico Bianco B; Passerina B; Pecorino B; Pinot Nero N,Barbera Bianca B; Biancame B; Bombino Bianco B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Moscato Bianco B; Mostosa B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,84,12000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Spumante Bianco Classico,White,Quality Sparkling Wine,Chardonnay B; Cococciola B; Montonico Bianco B; Passerina B; Pecorino B; Pinot Nero N,Barbera Bianca B; Biancame B; Bombino Bianco B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Moscato Bianco B; Mostosa B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,84,12000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Spumante Rosé Classico,Rosé,Sparkling Wine,Montepulciano N; Pinot Nero N,Aglianico N; Barbera N; Cabernet Franc N; Cabernet Sauvignon N; Calabrese N; Canaiolo Nero N; Cannonau N; Ciliegiolo N; Dolcetto N; Gaglioppo N; Maiolica N; Malbech N; Marzemino N; Merlot N; Nebbiolo N; Petit Verdot N; Primitivo N; Refosco Nostrano N; Sangiovese N; Syrah N; Tannat N; Terrano N,84,12000,2000
